bin1    bin2    count
65 65 1
36 54 1
34 34 1
66 66 1
22 22 1
83 83 2
11 11 1
28 28 1
30 30 1
36 36 1
3 3 1
64 73 1
32 32 1
38 38 1
60 60 1
60 60 1
50 51 1
12 13 1
46 65 1
78 78 1
85 86 1
16 20 1
53 53 2
59 59 1
10 10 1
39 39 1
55 55 1
39 39 2
70 70 1
25 25 1
16 16 2
45 45 1
15 15 1
46 46 1
67 67 1
59 59 1
8 8 1
49 49 1
71 71 1
72 73 1
45 45 1
38 38 1
13 13 1
56 56 1
56 56 1
46 48 1
76 77 1
61 62 1
27 37 1
52 52 1
64 64 1
59 59 1
87 87 1
24 25 1
36 36 2
85 89 1
6 6 1
50 50 3
47 47 1
54 64 1
7 7 1
83 83 1
6 6 1
60 60 1
68 69 1
57 57 1
86 86 1
26 26 1
69 69 1
75 75 1
46 46 1
43 43 1
28 37 1
56 57 1
57 57 1
81 82 1
32 32 2
25 25 1
61 61 1
9 9 1
67 67 1
47 47 1
47 47 1
56 56 1
86 86 1
36 36 1
68 68 1
5 5 1
81 81 1
40 40 1
31 31 1
28 28 1
88 90 1
63 63 1
28 29 1
89 89 1
64 65 1
36 36 1
7 7 1
68 75 1
4 4 1
25 25 1
24 24 1
24 24 1
34 34 1
68 84 1
5 14 1
65 65 1
27 27 1
60 60 1
42 42 2
82 82 1
67 67 1
40 40 1
27 27 1
33 33 1
19 19 1
5 6 1
48 48 1
57 57 1
26 27 1
28 29 1
14 14 1
29 29 1
45 70 1
60 61 1
38 38 1
85 85 1
61 61 1
24 24 1
74 74 1
34 34 1
77 77 1
52 52 1
60 60 1
74 76 3
21 21 3
7 36 1
65 65 2
24 24 1
10 10 1
55 55 1
53 79 1
8 8 1
74 74 1
12 12 1
64 64 1
61 61 1
72 73 1
25 25 1
41 41 1
55 55 1
19 19 1
65 65 1
23 23 3
26 26 1
32 32 2
46 74 1
76 76 1
32 32 1
68 68 1
74 74 1
56 56 1
31 31 1
82 82 1
32 32 1
56 56 1
34 34 1
82 82 1
30 30 1
60 60 1
10 11 1
75 75 1
57 57 1
43 43 1
51 51 1
32 32 1
38 38 1
37 54 1
5 5 1
27 27 2
85 85 1
38 39 1
23 23 1
39 40 1
73 73 1
40 42 1
27 28 1
83 83 1
40 40 1
3 3 1
87 87 1
8 36 1
5 5 1
38 38 1
4 4 2
29 37 1
51 51 1
29 29 1
6 6 2
54 55 1
24 24 1
53 53 1
62 62 1
3 3 1
66 66 2
81 84 1
78 79 1
75 75 1
13 13 1
49 49 1
64 64 1
4 4 2
79 79 1
58 58 2
37 37 1
52 53 1
79 79 1
3 3 1
81 81 1
13 13 1
38 39 1
52 56 1
21 21 3
89 89 1
84 84 1
9 10 2
52 52 1
49 49 1
61 61 1
48 48 1
49 50 1
68 68 1
90 90 1
78 78 1
37 37 1
43 69 1
66 66 1
34 34 1
33 33 1
29 37 1
16 16 1
81 81 1
87 87 2
37 37 1
9 9 1
42 42 1
28 28 1
74 74 1
34 34 1
61 61 1
88 88 1
40 40 1
73 73 2
34 34 1
37 37 1
81 81 1
35 36 2
80 80 1
