bin1    bin2    count
58 58 1
74 74 1
49 50 2
95 95 1
74 74 1
79 79 1
65 70 1
55 55 1
77 80 1
139 140 2
36 36 1
153 153 1
96 96 1
125 125 1
9 9 1
138 141 1
6 8 1
105 105 1
101 101 1
35 39 1
118 118 1
46 56 2
160 164 1
48 48 1
11 11 1
9 9 1
132 147 1
66 66 2
63 63 2
151 151 1
38 38 3
63 63 1
20 20 3
164 164 1
163 163 2
150 150 1
46 46 1
50 50 2
88 88 1
100 100 2
62 158 3
125 128 1
6 6 1
163 163 1
10 10 1
96 96 1
39 81 1
41 43 2
154 155 1
18 18 1
158 159 1
134 134 1
147 147 3
75 79 1
100 100 1
70 70 2
36 75 1
7 7 1
43 44 3
158 158 2
6 6 2
68 68 1
128 128 1
109 109 1
38 40 1
11 11 1
99 99 1
95 95 2
150 150 1
77 81 1
75 75 1
18 18 2
34 34 1
66 67 1
111 111 2
44 44 1
114 115 1
7 7 1
46 48 1
21 22 1
10 10 1
13 13 2
21 21 1
69 69 1
126 127 1
20 20 1
165 165 1
92 92 3
9 9 1
80 80 1
163 163 1
117 117 1
79 79 1
7 7 4
55 55 2
53 53 1
136 136 1
61 61 1
80 80 3
114 114 3
156 164 1
96 96 1
12 12 1
105 125 2
112 115 1
108 108 1
46 46 1
142 146 1
90 90 2
10 10 2
153 153 2
147 147 2
108 118 1
111 111 1
99 99 1
7 7 1
141 141 3
131 131 1
133 155 1
33 34 2
152 152 1
114 114 1
98 98 2
156 156 1
78 79 1
11 12 2
166 166 1
67 68 1
159 159 1
35 48 1
43 43 2
62 138 1
56 81 1
147 147 1
34 34 1
111 113 1
66 66 1
62 79 1
148 148 1
102 102 1
140 140 2
92 92 1
76 76 3
80 80 1
39 39 2
38 38 1
116 116 1
50 50 1
148 148 1
163 163 1
153 154 1
158 158 1
133 133 2
125 125 1
154 154 1
123 125 2
54 54 1
160 160 1
75 85 3
89 129 1
11 11 2
149 149 1
147 147 1
71 71 1
60 60 1
134 134 1
123 123 2
113 142 1
158 158 1
38 38 1
69 69 1
10 10 1
19 23 1
157 157 1
67 67 2
43 43 1
98 126 3
100 100 3
152 155 1
7 7 2
10 10 1
53 54 2
75 79 2
163 163 1
85 85 1
160 162 2
55 73 1
117 117 2
110 110 2
105 123 1
136 137 1
78 78 1
93 95 1
158 158 2
59 59 2
76 78 2
69 69 1
97 97 1
79 79 1
140 156 1
37 37 1
33 50 1
136 136 2
62 62 2
89 89 1
94 125 1
82 82 1
88 88 1
10 11 4
110 110 2
66 68 1
104 105 2
