bin1    bin2    count
122 129 2
38 42 1
85 85 1
138 138 1
100 100 1
99 99 1
77 77 1
107 122 1
72 72 1
57 57 1
119 119 1
90 90 1
72 72 1
96 97 1
77 77 1
48 48 1
53 54 1
43 43 1
44 44 1
21 21 1
9 116 1
60 60 1
79 80 1
105 105 1
144 144 1
129 129 2
102 102 1
145 145 1
36 36 1
60 88 1
7 7 2
119 119 1
50 50 1
36 36 1
126 126 1
113 113 1
118 125 1
148 148 1
68 68 1
71 71 1
18 18 1
67 67 1
33 34 1
3 3 1
77 86 1
43 44 1
15 17 1
64 64 1
80 80 2
10 10 1
107 107 1
117 118 2
3 19 1
62 62 1
145 145 1
118 118 1
29 29 1
5 59 1
13 13 1
131 133 1
37 119 1
65 65 1
113 113 1
106 106 1
115 115 1
147 147 1
111 111 1
139 140 1
4 7 1
73 73 1
76 131 1
12 12 1
125 151 1
128 128 1
53 53 1
28 28 1
20 20 1
100 139 2
28 28 1
18 18 1
46 46 1
100 132 1
45 45 1
40 40 1
128 128 1
48 48 1
108 108 2
3 3 1
78 79 1
143 147 1
77 86 1
32 75 1
56 57 1
145 145 1
151 151 1
128 128 1
66 66 2
139 139 1
121 121 1
23 23 1
11 11 1
75 119 2
146 146 1
93 100 1
70 105 1
6 6 1
39 39 1
8 8 1
33 67 1
147 148 1
10 10 1
16 17 1
143 143 1
4 10 1
36 36 1
77 77 1
136 136 1
16 17 1
141 145 1
73 76 1
73 73 1
132 132 1
32 32 1
106 106 1
65 66 1
121 121 1
74 75 1
104 104 1
71 71 1
119 119 2
32 32 2
110 110 1
131 131 1
5 5 1
132 132 1
128 128 1
86 87 1
56 56 1
69 69 1
33 34 1
98 99 1
101 101 1
44 51 1
39 40 2
115 115 1
45 45 1
91 91 1
145 151 1
75 75 1
75 75 1
22 22 1
87 87 1
33 33 1
10 123 1
33 33 1
133 133 1
91 91 1
37 38 1
72 72 2
121 121 1
7 7 1
81 81 2
50 62 1
114 114 1
105 105 2
134 134 1
147 147 1
120 121 1
120 122 1
125 128 1
13 77 1
21 21 1
96 96 1
